Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-19 00:00:00-04:00,33.258394398133596,33.5219751892522,33.14542812392366,33.30546188354492,5153400,0.0,0.0
2024-07-22 00:00:00-04:00,33.30545981647451,33.42783455274511,33.14542606678558,33.258392333984375,4811000,0.0,0.0
2024-07-23 00:00:00-04:00,33.00421970169842,33.03245946963668,32.740635367207545,32.90066909790039,5203500,0.0,0.0
2024-07-24 00:00:00-04:00,33.0512898122731,33.21131996469955,32.59001988342179,32.618263244628906,7232000,0.0,0.0
2024-07-25 00:00:00-04:00,32.768883807682386,33.248977892173215,32.59943799174001,33.1171875,5355300,0.0,0.0
2024-07-26 00:00:00-04:00,33.145427156928335,33.34311274449995,32.910086145718644,33.183082580566406,7135500,0.0,0.0
2024-07-29 00:00:00-04:00,33.31487056810256,33.343110338283765,32.69357048698605,32.91008377075195,12769000,0.0,0.0
2024-07-30 00:00:00-04:00,33.04187943392189,33.27722046576184,32.55237324779165,32.76888656616211,13968300,0.0,0.0
2024-07-31 00:00:00-04:00,33.36194404549831,33.47491032856579,33.10777529512534,33.314876556396484,9430600,0.0,0.0
2024-08-01 00:00:00-04:00,33.3337051643966,33.38077265476098,32.51471934079439,32.72181701660156,8320400,0.0,0.0
2024-08-02 00:00:00-04:00,32.40174825067818,32.53354223158521,31.902826462953104,32.081687927246094,11411600,0.0,0.0
2024-08-05 00:00:00-04:00,31.065013180304508,31.338009612521397,30.801432399415823,31.055601119995117,10021000,0.0,0.0
2024-08-06 00:00:00-04:00,30.622568673212697,31.2532843979345,30.603740962965333,31.008527755737305,8457700,0.0,0.0
2024-08-07 00:00:00-04:00,31.15914901260136,31.441561103987567,31.083841754978906,31.11208152770996,8244700,0.0,0.0
2024-08-08 00:00:00-04:00,31.300355014516345,31.676902075158694,31.243871878114323,31.535696029663086,5262900,0.0,0.0
2024-08-09 00:00:00-04:00,31.516594966182122,31.879514352561042,31.41153906671294,31.76490592956543,5443000,0.48,0.0
2024-08-12 00:00:00-04:00,32.099175883947574,32.271084879784425,31.97501857734976,32.13737869262695,5847200,0.0,0.0
2024-08-13 00:00:00-04:00,32.09917207840104,32.27108105385707,31.9559133844477,32.19467544555664,5524600,0.0,0.0
2024-08-14 00:00:00-04:00,32.25198034539143,32.261529225024375,32.070522486605384,32.18512725830078,5685300,0.0,0.0
